SyntheticCropDataset: 1000 single-card samples
Device : cuda
Params : 4.35M
Samples: 1000
Epoch 01/80 | loss=3.9302 | acc=0.0310 | best=0.0310
Epoch 02/80 | loss=3.5204 | acc=0.0640 | best=0.0640
Epoch 03/80 | loss=3.3194 | acc=0.0650 | best=0.0650
Epoch 04/80 | loss=3.1923 | acc=0.0710 | best=0.0710
Epoch 05/80 | loss=3.0847 | acc=0.1010 | best=0.1010
Epoch 06/80 | loss=3.1224 | acc=0.0970 | best=0.1010
Epoch 07/80 | loss=3.0257 | acc=0.0910 | best=0.1010
Epoch 08/80 | loss=2.9089 | acc=0.0750 | best=0.1010
Epoch 09/80 | loss=2.9096 | acc=0.1010 | best=0.1010
Epoch 10/80 | loss=2.9144 | acc=0.1020 | best=0.1020
Epoch 11/80 | loss=2.9016 | acc=0.1020 | best=0.1020
Epoch 12/80 | loss=2.8018 | acc=0.1090 | best=0.1090
Epoch 13/80 | loss=2.7244 | acc=0.1220 | best=0.1220
Epoch 14/80 | loss=2.7004 | acc=0.1550 | best=0.1550
Epoch 15/80 | loss=2.7777 | acc=0.1250 | best=0.1550
Epoch 16/80 | loss=2.7768 | acc=0.1240 | best=0.1550
Epoch 17/80 | loss=2.7233 | acc=0.1210 | best=0.1550
Epoch 18/80 | loss=2.6745 | acc=0.1370 | best=0.1550
Epoch 19/80 | loss=2.6282 | acc=0.1500 | best=0.1550
Epoch 20/80 | loss=2.6295 | acc=0.1240 | best=0.1550
Epoch 21/80 | loss=2.6001 | acc=0.1520 | best=0.1550
Epoch 22/80 | loss=2.5491 | acc=0.1610 | best=0.1610
Epoch 23/80 | loss=2.5829 | acc=0.1550 | best=0.1610
Epoch 24/80 | loss=2.4873 | acc=0.1750 | best=0.1750
Epoch 25/80 | loss=2.5572 | acc=0.1750 | best=0.1750
Epoch 26/80 | loss=2.4960 | acc=0.1740 | best=0.1750
Epoch 27/80 | loss=2.4058 | acc=0.1860 | best=0.1860
Epoch 28/80 | loss=2.4389 | acc=0.1920 | best=0.1920
Epoch 29/80 | loss=2.4624 | acc=0.1750 | best=0.1920
Epoch 30/80 | loss=2.2719 | acc=0.1970 | best=0.1970
Epoch 31/80 | loss=2.3103 | acc=0.2200 | best=0.2200
Epoch 32/80 | loss=2.2795 | acc=0.1960 | best=0.2200
Epoch 33/80 | loss=2.4060 | acc=0.1910 | best=0.2200
Epoch 34/80 | loss=2.3829 | acc=0.2020 | best=0.2200
Epoch 35/80 | loss=2.3280 | acc=0.2150 | best=0.2200
Epoch 36/80 | loss=2.2496 | acc=0.2540 | best=0.2540
Epoch 37/80 | loss=2.2454 | acc=0.2310 | best=0.2540
Epoch 38/80 | loss=2.3185 | acc=0.2550 | best=0.2550
